0	tr_2520__u2__u8
1	tr_2520__u2__u2
2	tr_2520__u2__u7
3	tr_774__u3__u3
4	tr_593__u2__u2
5	tr_3805__u8__u15
6	tr_3551__u1__u2
7	tr_3551__u1__u4
8	tr_4132__u2__u2
9	tr_2520__u3__u3
10	tr_2520__u1__u9
11	tr_72__u3__u3
12	tr_72__u5__u5
13	tr_864__u1__u16
14	tr_2520__u6__u7
15	tr_1725__u7__u8
16	tr_1725__u3__u10
17	tr_3805__u10__u15
18	tr_2520__u1__u8
19	tr_1725__u5__u10
20	tr_593__u5__u5
21	tr_72__u5__u7
22	tr_774__u1__u2
23	tr_3805__u12__u15
24	tr_2330__u10__u11
25	tr_5133__u3__u6
26	tr_4633__u6__u6
27	tr_3805__u5__u16
28	tr_774__u1__u3
29	tr_5133__u1__u2
30	tr_72__u1__u5
31	tr_1725__u2__u15
32	tr_593__u3__u6
33	tr_5133__u3__u3
34	tr_774__u6__u6
35	tr_2520__u6__u6
36	tr_1725__u15__u15
37	tr_864__u3__u16
38	tr_3805__u16__u16
39	tr_4633__u3__u5
40	tr_3805__u13__u15
41	tr_1725__u10__u12
42	tr_864__u16__u16
43	tr_593__u2__u6
44	tr_1725__u3__u15
45	tr_593__u4__u4
46	tr_72__u1__u3
47	tr_593__u2__u4
48	tr_2520__u7__u8
49	tr_774__u1__u1
50	tr_593__u1__u5
51	tr_774__u1__u5
52	tr_593__u1__u2
53	tr_5133__u2__u5
54	tr_5133__u4__u5
55	tr_3805__u7__u16
56	tr_1725__u2__u10
57	tr_3551__u3__u4
58	tr_3551__u2__u2
59	tr_4132__u2__u3
60	tr_2520__u5__u7
61	tr_593__u6__u6
62	tr_4132__u3__u3
63	tr_2520__u1__u6
64	tr_864__u9__u16
65	tr_1725__u7__u12
66	tr_593__u1__u4
67	tr_3805__u5__u17
68	tr_2520__u3__u9
69	tr_4633__u5__u7
70	tr_864__u8__u16
71	tr_774__u2__u4
72	tr_1725__u4__u15
73	tr_3805__u10__u17
74	tr_3805__u11__u16
75	tr_593__u4__u5
76	tr_864__u6__u16
77	tr_864__u13__u16
78	tr_2520__u1__u7
79	tr_593__u5__u6
80	tr_2520__u5__u6
81	tr_3805__u1__u16
82	tr_4633__u3__u7
